ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-32,AT,Residential,Multi-family house (MFH),2010,2022,Advanced,Wood frame,273.5,218.8,6.930931677,875.2,2,3,2,598,0,0,0,0,0.769230769,0.153846154,0.076923077,41,0,0,0,17.05,22,56,0,0,0,2.759908659,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,0.21,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,0.21,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.86,,pellets central heating,PEL_01_r,0.337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDI_01_a,0.21,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.05,,"pellets central heating, with solar thermal",PEL_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWI_03_a,0.16,,,,,,,district heating,DIH_01_r,0.02,,"electric direct heating, with solar thermal",ELE_01_s,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWI_05_a,,,,,,,,pellets central heating,PEL_01_r,0.02,,heat pump,HEP_01_r,0.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,heat pump,HEP_01_r,0.04,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAI_07_a,0.17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_02_w,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-13,AT,Residential,Multi-family house (MFH),2010,2022,Passive,Masonry,273.5,218.8,6.930931677,875.2,2,3,2,1348,0,0,0,0,0.769230769,0.153846154,0.076923077,15,0,0,0,15,22,21,0,0,0,2.428915134,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,,,,,,,,district heating,DIH_01_r,0.05,,district heating,DIH_01_r,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.02,,"pellets central heating, with solar thermal",PEL_01_s,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDu_01_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWm_05_a,,,,,,,,heat pump,HEP_01_r,0.9,,heat pump,HEP_01_r,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAm_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_02_p,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-23,AT,Residential,Multi-family house (MFH),2010,2022,Passive,Concrete,273.5,218.8,6.930931677,875.2,2,3,2,258,0,0,0,0,0.769230769,0.153846154,0.076923077,15,0,0,0,15,22,21,0,0,0,2.428915134,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_01_a,,,,,,,,district heating,DIH_01_r,0.05,,district heating,DIH_01_r,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.02,,"pellets central heating, with solar thermal",PEL_01_s,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDu_01_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWm_01_a,,,,,,,,heat pump,HEP_01_r,0.9,,heat pump,HEP_01_r,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWm_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAm_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_02_p,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-MFH-2010-2022-33,AT,Residential,Multi-family house (MFH),2010,2022,Passive,Wood frame,273.5,218.8,6.930931677,875.2,2,3,2,75,0,0,0,0,0.769230769,0.153846154,0.076923077,15,0,0,0,15,22,21,0,0,0,2.428915134,33,2.97,26.73,21531.20598,254.4,Foundation,136.75,Efu_13_a,,,,,,,,district heating,DIH_01_r,0.05,,district heating,DIH_01_r,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,104.7783794,EAm_02_a,,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.02,,"pellets central heating, with solar thermal",PEL_01_s,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,136.75,KDI_01_a,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,342,AWI_03_a,,,,,,,,heat pump,HEP_01_r,0.9,,heat pump,HEP_01_r,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",89.26032518,IWI_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",148.6846748,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,136.75,GDI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,130,DAI_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,42.48,Win_02_w,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,2-12,Doo_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,3-6-3-0-3-11-16-14-68-54-68-54,SAN_03_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,278-4617-1426-108,ELI_01_r,,,,,,,,,,,,,,
AT-ABL-1850-1918-11,AT,Residential,Apartment block (ABL),1850,1918,Standard,Masonry,1538.4,1230.7,32.23261905,5230.6,4,12,2,21794,2746,1526,262,531,0.8,0.125,0.075,107,101.65,74.4,38.9,13.97,22,144,137,101,53,2.261376103,33,3.08,27.72,86124.82391,1017.6,Foundation,384.6,Efo_19_a,0.9,,,,,,,electric direct heating,ELE_01_r,0.17,,district heating,DIH_01_r,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,351.4330853,EAm_18_a,0.68,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.33,Adapted to fit NEA,pellets central heating,PEL_01_r,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,384.6,KDo_18_a,0.99,,,REN_02_a,0.26,REN_02_a,0.23,district heating,DIH_01_r,0.5,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,565.19,AWm_18_a,0.78,,,REN_01_a,0.2,REN_01_a,0.14,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,282.595,AWm_19_a,0.92,,,REN_01_a,0.2,REN_01_a,0.14,,,,,heat pump,HEP_01_r,0.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,282.595,AWm_20_a,1.18,,,REN_01_a,0.2,REN_01_a,0.14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",519.2226172,IWm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",865.3373828,IWm_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,769.2,KDo_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,384.6,GDm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,384.6,GDm_20_a,0.59,REN_03_a,0.21,REN_03_a,0.21,REN_03_a,0.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,543.9065361,DAI_18_a,1.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,182.75,Win_18_k,2.2,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,4-48,Doo_04_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,12-24-0-12-12-64-88-80-385-305-385-305,SAN_04_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,1564-25972-8021-610,ELI_01_r,,,,,,,,,,,,,,
AT-ABL-1919-1944-11,AT,Residential,Apartment block (ABL),1919,1944,Standard,Masonry,1479.2,1183.32,30.99171429,4881.4,4,14,2,6710,845,470,81,163,0.8,0.125,0.075,107,101.65,75.1,39.1,13.97,22,144,137,102,53,2.261376103,33,3.08,27.72,100478.9612,1187.2,Foundation,369.8,Efo_50_a,2.44,,,,,,,single stoves oil,OIL_01_r,0.21,,district heating,DIH_01_r,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,344.6049081,EAm_51_a,1.2,,,,,,,district heating,DIH_01_r,0.44,,pellets central heating,PEL_01_r,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,369.8,GDm_53_a,2.44,,,REN_02_a,0.26,REN_02_a,0.23,"gas central heating, standard boiler",GAS_01_r,0.35,,"pellets central heating, with solar thermal",PEL_01_s,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,282,EAm_52_a,1.9,,,,,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,846,EAm_53_a,1.9,,,REN_01_a,0.22,REN_01_a,0.15,,,,,heat pump,HEP_01_r,0.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",499.2421317,IWm_50_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",832.0378683,IWm_53_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1109.4,GDm_53_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,369.8,GDm_53_a,1.28,REN_03_a,0.21,REN_03_a,0.21,REN_03_a,0.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,522.9761754,DAI_50_a,0.798479087,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,158,Win_50_k,2.2,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,4-56,Doo_04_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,14-28-0-14-14-62-85-77-370-293-370-293,SAN_04_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,1504-14972-7712-586,ELI_01_r,,,,,,,,,,,,,,
AT-ABL-1945-1960-11,AT,Residential,Apartment block (ABL),1945,1960,Standard,Masonry,1013.1,810.472,21.22183541,2986.6,4,12,2,14896,1877,1043,179,363,0.837837838,0.108108108,0.054054054,111,105.45,68.8,34,21.04,22,149,142,93,46,3.406974327,33,3.08,27.72,86124.82391,1017.6,Foundation,253.275,Efo_60_a,2.44,,,,,,,electric direct heating,ELE_01_r,0.25,,district heating,DIH_01_r,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.1899174,EAm_60_a,2.98,,,,,,,district heating,DIH_01_r,0.5,Adapted to fit NEA,pellets central heating,PEL_01_r,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,253.275,KDo_60_a,1.28,,,REN_02_a,0.16,REN_02_a,0.16,"gas central heating, standard boiler",GAS_01_r,0.25,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,588,AWm_60_a,1.33,,,REN_01_a,0.21,REN_01_a,0.15,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",341.9295589,IWm_60_a,,,,,,,,,,,,heat pump,HEP_01_r,0.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",569.8604411,IWm_63_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,759.825,GDm_60_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,253.275,GDm_60_a,2.67,REN_03_a,0.23,REN_03_a,0.23,REN_03_a,0.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,292.4567789,DAI_60_a,1.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.86,Win_60_w,2.3,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,4-48,Doo_04_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,12-24-0-12-12-42-58-53-254-201-254-201,SAN_04_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,1030-17103-5282-401,ELI_01_r,,,,,,,,,,,,,,
AT-ABL-1961-1980-21,AT,Residential,Apartment block (ABL),1961,1980,Standard,Concrete,1169.5,935.6,32.42772786,3391.7,4,12,2,41893,5279,2933,503,1020,0.833333333,0.111111111,0.055555556,103,97.85,73,37.6,19.94,22,138,132,98,51,3.228052262,33,3.08,27.72,86124.82391,1017.6,Foundation,292.375,Efo_70_a,2.44,,,,,,,district heating,DIH_01_r,0.63,,district heating,DIH_01_r,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,306.4136603,EAm_70_a,2.78,,,,,,,"oil central heating, standard boiler",OIL_01_r,0.19,,pellets central heating,PEL_01_r,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,292.375,KDo_70_a,1,,,REN_02_a,0.16,REN_02_a,0.16,"gas central heating, standard boiler",GAS_01_r,0.18,,"pellets central heating, with solar thermal",PEL_01_s,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,958.74,AWm_73_a,1.1,,,REN_01_a,0.2,REN_01_a,0.14,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",394.7158417,IWm_71_a,,,,,,,,,,,,heat pump,HEP_01_r,0.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",657.8341583,IWm_72_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,877.125,GDm_70_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,389.9,DAI_73_a,0.708661417,REN_05_a,0.22,REN_05_a,0.22,REN_05_a,0.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,186.49,Win_70_w,2.6,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,4-48,Doo_04_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,12-24-0-12-12-49-67-61-293-232-293-232,SAN_04_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,1189-19744-6097-463,ELI_01_r,,,,,,,,,,,,,,
AT-ABL-1981-1990-21,AT,Residential,Apartment block (ABL),1981,1990,Standard,Concrete,1701,1360.8,73.24419263,5274.2,4,14,2,10405,1311,728,125,253,0.777777778,0.111111111,0.111111111,85,80.75,48.3,27.1,22.96,22,114,109,65,37,3.717602913,33,3.08,27.72,100478.9612,1187.2,Foundation,425.25,Efo_80_a,0.65,,,,,,,electric direct heating,ELE_01_r,0.21,,district heating,DIH_01_r,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,369.538904,EAm_80_a,3.59,,,,,,,district heating,DIH_01_r,0.53,,pellets central heating,PEL_01_r,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,425.25,KDo_80_a,0.6,,,REN_02_a,0.16,REN_02_a,0.16,"gas central heating, standard boiler",GAS_01_r,0.26,,"pellets central heating, with solar thermal",PEL_01_s,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,1068.88,AWm_82_a,0.69,,,REN_01_a,0.18,REN_01_a,0.13,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",574.1014508,IWm_80_a,,,,,,,,,,,,heat pump,HEP_01_r,0.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",956.7985492,IWm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,1275.75,GDm_80_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,425.34,DAI_82_a,0.65,REN_05_a,0.22,REN_05_a,0.22,REN_05_a,0.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,177.4,Win_80_w,2.5,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,4-56,Doo_04_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,14-28-0-14-14-71-98-89-426-337-426-337,SAN_04_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,1729-28717-8869-674,ELI_01_r,,,,,,,,,,,,,,
AT-ABL-1991-2000-11,AT,Residential,Apartment block (ABL),1991,2000,Standard,Masonry,1132.7,906.2,40.5761194,3511.6,4,14,1,17525,2208,1227,210,0,0.818181818,0.090909091,0.090909091,77,73.15,72.7,64.3,18.71,22,103,98,98,87,3.029249967,33,3.08,27.72,50239.48061,593.6,Foundation,283.175,Efo_01_a,0.384615385,,,,,,,district heating,DIH_01_r,0.72,,district heating,DIH_01_r,0.322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,301.5542544,EAm_02_a,0.384615385,,,,,,,electric direct heating,ELE_01_r,0.14,,pellets central heating,PEL_01_r,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,283.175,KDo_01_a,0.384615385,,,REN_02_a,0.13,REN_02_a,0.13,"gas central heating, standard boiler",GAS_01_r,0.14,,"pellets central heating, with solar thermal",PEL_01_s,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,812.29,AWm_05_a,0.35,,,REN_01_a,0.23,REN_01_a,0.16,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",382.2955398,IWm_02_a,,,,,,,,,,,,heat pump,HEP_01_r,0.535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",637.1344602,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,849.525,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,380.8,DAm_03_a,0.2,REN_05_a,0.11,REN_05_a,0.11,REN_05_a,0.08,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,189.5,Win_01_p,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,4-56,Doo_04_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,14-28-0-14-14-47-65-59-283-224-283-224,SAN_04_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,1152-19122-5906-449,ELI_01_r,,,,,,,,,,,,,,
